id,sample,state,locality,lat,long,sex,species
34890,P_melanocephalus_34890,Colorado,"Golden, 9327 Ute Drive",39.865498,-105.281311,female,melanocephalus
39985,P_melanocephalus_39985,Colorado,"Mesa de Maya, 20 kilometers south and 27.2 kilometers west of Kim",37.086496,-103.621942,unknown,melanocephalus
43110,P_melanocephalus_43110,Colorado,"Franktown, 751 Willow Lake Drive",39.370718,-104.78205,unknown,melanocephalus
43276,P_melanocephalus_43276,Colorado,"Franktown, 751 Willow Lake Drive",39.370718,-104.78205,male,melanocephalus
44346,P_melanocephalus_44346,Colorado,"Fort Collins, 4900 East Ridge Road",40.517791,-105.158097,unknown,melanocephalus
44347,P_melanocephalus_44347,Colorado,"Fort Collins, 4900 East Ridge Road",40.517791,-105.158097,unknown,melanocephalus
44471,P_melanocephalus_44471,Colorado,"Franktown, 636 Willow Lake Drive",39.368779,-104.775193,male,melanocephalus
44651,P_melanocephalus_44651,South Dakota,"0.5 mile south of Spearfish, Mouth of Spearfish Canyon",44.46673,-103.85123,male,melanocephalus
44660,P_melanocephalus_44660,South Dakota,"Higgins Gulch, 1.5 miles southwest of Spearfish",44.4833,-103.9333,male,melanocephalus
44666,P_melanocephalus_44666,South Dakota,"Spearfish Peak, 0.5 mile south of Spearfish",44.45248,-103.84325,male,melanocephalus
44674,P_melanocephalus_44674,South Dakota,"Higgins Gulch, 1.5 miles southwest of Spearfish",44.4833,-103.9333,male,melanocephalus
44676,P_melanocephalus_44676,South Dakota,"Higgins Gulch, 1.5 miles southwest of Spearfish",44.4833,-103.9333,male,melanocephalus
44677,P_melanocephalus_44677,South Dakota,"Higgins Gulch, 1.5 miles southwest of Spearfish",44.4833,-103.9333,male,melanocephalus
44678,P_melanocephalus_44678,South Dakota,"Higgins Gulch, 1.5 miles southwest of Spearfish",44.4833,-103.9333,male,melanocephalus
44679,P_melanocephalus_44679,South Dakota,"Higgins Gulch, 1.5 miles southwest of Spearfish",44.4833,-103.9333,female,melanocephalus
44680,P_melanocephalus_44680,South Dakota,"Higgins Gulch, 1.5 miles southwest of Spearfish",44.4833,-103.9333,male,melanocephalus
44681,P_melanocephalus_44681,South Dakota,10 miles east of Interior,43.72741344,-101.6422757,male,melanocephalus
44683,P_melanocephalus_44683,South Dakota,5 miles south of Kadoka,43.74834574,-101.509235,male,melanocephalus
44684,P_melanocephalus_44684,South Dakota,5 miles south of Kadoka,43.74834574,-101.509235,male,melanocephalus
